,During,Freq,Genere,Appartenenza
27,Notte,6,soul,0.061855670103092786
28,Notte,7,metal,0.14583333333333334
29,Notte,7,tango,0.10606060606060606
30,Notte,7,bachata,0.5
31,Notte,7,trap,0.06481481481481481
32,Notte,8,dubstep,0.3809523809523809
33,Notte,8,folk,0.26666666666666666
34,Notte,9,garage,0.13043478260869565
35,Notte,9,disco,0.125
36,Notte,9,blues,0.1267605633802817
37,Notte,10,trance,0.2127659574468085
38,Notte,12,house,0.1643835616438356
39,Notte,12,salsa,0.2790697674418605
40,Notte,13,opera,0.0755813953488372
41,Notte,14,reggaeton,0.2
42,Notte,14,baroque,0.2413793103448276
43,Notte,15,afrobeat,0.1851851851851852
44,Notte,20,drone,0.09852216748768472
45,Notte,20,bossa nova,0.2777777777777778
46,Notte,21,rave,0.0995260663507109
47,Notte,21,dance,0.062314540059347175
48,Notte,22,pop,0.14965986394557826
49,Notte,25,latin,0.17985611510791366
50,Notte,36,rock,0.13793103448275862
51,Notte,41,jazz,0.13945578231292516
26,Mattina,6,funk,0.2857142857142857
27,Mattina,6,punk,0.2857142857142857
28,Mattina,6,electro,0.2727272727272727
29,Mattina,6,dubstep,0.2857142857142857
30,Mattina,6,glam,0.2608695652173913
31,Mattina,6,rockabilly,0.5454545454545454
32,Mattina,6,reggae,0.42857142857142855
33,Mattina,6,progressive,0.42857142857142855
34,Mattina,7,swing,0.2916666666666667
35,Mattina,9,gospel,0.5625
36,Mattina,9,comedy,0.39130434782608703
37,Mattina,9,salsa,0.20930232558139536
38,Mattina,10,country,0.4166666666666667
39,Mattina,11,minimal,0.3235294117647059
40,Mattina,12,techno,0.21818181818181814
41,Mattina,13,folk,0.43333333333333335
42,Mattina,15,trance,0.3191489361702128
43,Mattina,15,milonga,0.5357142857142857
44,Mattina,15,bossa nova,0.20833333333333331
45,Mattina,17,indie,0.3617021276595745
46,Mattina,19,disco,0.2638888888888889
47,Mattina,19,metal,0.3958333333333333
48,Mattina,20,baroque,0.3448275862068966
49,Mattina,22,afrobeat,0.2716049382716049
50,Mattina,22,house,0.3013698630136986
51,Mattina,22,musical,0.5
52,Mattina,26,club,0.40625
53,Mattina,28,blues,0.39436619718309857
54,Mattina,28,reggaeton,0.4
55,Mattina,32,tango,0.4848484848484849
56,Mattina,38,garage,0.5507246376811594
57,Mattina,41,trap,0.3796296296296297
58,Mattina,43,soul,0.4432989690721649
59,Mattina,46,latin,0.33093525179856115
60,Mattina,50,pop,0.3401360544217687
61,Mattina,67,drone,0.33004926108374383
62,Mattina,67,dance,0.198813056379822
63,Mattina,68,opera,0.3953488372093023
64,Mattina,89,jazz,0.3027210884353741
65,Mattina,93,rock,0.3563218390804598
66,Mattina,115,rave,0.5450236966824644
27,Pomeriggio,6,dubstep,0.2857142857142857
28,Pomeriggio,7,lounge,0.35
29,Pomeriggio,7,baroque,0.1206896551724138
30,Pomeriggio,7,indie,0.14893617021276595
31,Pomeriggio,8,musical,0.18181818181818185
32,Pomeriggio,8,swing,0.3333333333333333
33,Pomeriggio,8,comedy,0.3478260869565217
34,Pomeriggio,8,milonga,0.2857142857142857
35,Pomeriggio,9,trance,0.1914893617021277
36,Pomeriggio,9,house,0.1232876712328767
37,Pomeriggio,9,country,0.375
38,Pomeriggio,9,minimal,0.2647058823529412
39,Pomeriggio,9,metal,0.1875
40,Pomeriggio,10,schlager,0.6666666666666666
41,Pomeriggio,10,ebm,0.5263157894736842
42,Pomeriggio,11,reggaeton,0.15714285714285714
43,Pomeriggio,12,blues,0.16901408450704225
44,Pomeriggio,13,salsa,0.3023255813953488
45,Pomeriggio,15,garage,0.21739130434782608
46,Pomeriggio,16,soul,0.16494845360824742
47,Pomeriggio,18,club,0.28125
48,Pomeriggio,20,tango,0.30303030303030304
49,Pomeriggio,20,techno,0.3636363636363637
50,Pomeriggio,21,afrobeat,0.25925925925925924
51,Pomeriggio,23,bossa nova,0.3194444444444444
52,Pomeriggio,28,disco,0.3888888888888889
53,Pomeriggio,33,pop,0.22448979591836732
54,Pomeriggio,33,opera,0.19186046511627908
55,Pomeriggio,39,trap,0.3611111111111111
56,Pomeriggio,42,latin,0.302158273381295
57,Pomeriggio,57,rave,0.27014218009478674
58,Pomeriggio,67,rock,0.2567049808429119
59,Pomeriggio,70,drone,0.3448275862068966
60,Pomeriggio,90,jazz,0.30612244897959184
61,Pomeriggio,164,dance,0.486646884272997
25,Sera,6,psychedelic,0.4
26,Sera,7,tango,0.10606060606060606
27,Sera,7,swing,0.2916666666666667
28,Sera,7,garage,0.10144927536231883
29,Sera,7,electro,0.3181818181818182
30,Sera,8,lounge,0.4
31,Sera,9,funk,0.42857142857142855
32,Sera,9,salsa,0.20930232558139536
33,Sera,9,punk,0.42857142857142855
34,Sera,10,musical,0.2272727272727273
35,Sera,10,classical,0.7692307692307693
36,Sera,11,minimal,0.3235294117647059
37,Sera,13,metal,0.2708333333333333
38,Sera,13,glam,0.5652173913043478
39,Sera,13,trance,0.2765957446808511
40,Sera,14,bossa nova,0.19444444444444445
41,Sera,15,club,0.234375
42,Sera,16,disco,0.2222222222222222
43,Sera,17,baroque,0.29310344827586204
44,Sera,17,reggaeton,0.24285714285714285
45,Sera,18,techno,0.3272727272727273
46,Sera,18,rave,0.08530805687203792
47,Sera,18,indie,0.3829787234042553
48,Sera,21,trap,0.19444444444444445
49,Sera,22,blues,0.30985915492957744
50,Sera,23,afrobeat,0.2839506172839506
51,Sera,26,latin,0.18705035971223025
52,Sera,30,house,0.410958904109589
53,Sera,32,soul,0.32989690721649484
54,Sera,42,pop,0.2857142857142857
55,Sera,46,drone,0.2266009852216749
56,Sera,58,opera,0.3372093023255814
57,Sera,65,rock,0.2490421455938697
58,Sera,74,jazz,0.25170068027210885
59,Sera,85,dance,0.2522255192878338
