Genere,Mattina,Notte,Pomeriggio,Sera
afrobeat,22,15,21,23
alternative rock,0,0,0,1
ambient,0,1,4,2
americana,1,2,3,2
bachata,3,7,2,2
ballad,2,0,0,2
baroque,20,14,7,17
bebop,1,1,0,0
bluegrass,1,0,0,0
blues,28,9,12,22
bossa nova,15,20,23,14
britpop,0,1,0,0
celtic,4,1,3,1
chanson,1,0,0,0
chillout,0,0,0,2
classical,1,0,2,10
club,26,5,18,15
comedy,9,5,8,1
country,10,1,9,4
cumbia,0,2,0,0
dance,67,21,164,85
dancehall,2,1,0,1
deep house,0,3,1,0
disco,19,9,28,16
downtempo,0,0,1,3
drone,67,20,70,46
dub,1,0,0,1
dubstep,6,8,6,1
ebm,4,0,10,5
electro,6,5,4,7
electronic,2,1,2,0
electronica,2,0,3,2
electropop,1,1,0,0
emo,0,0,0,1
emocore,0,0,0,1
eurodance,1,0,0,0
experimental,1,0,3,0
flamenco,0,1,2,0
folk,13,8,4,5
funk,6,4,2,9
fusion,4,1,1,1
garage,38,9,15,7
glam,6,2,2,13
glitch,1,2,2,1
gospel,9,5,0,2
gothic,1,0,1,1
grindcore,0,0,0,2
grunge,1,0,2,2
guaracha,0,0,0,2
hard rock,2,0,0,0
hardstyle,1,0,0,0
heavy metal,1,0,0,0
house,22,12,9,30
idm,0,2,1,1
indie,17,5,7,18
industrial,3,0,3,1
instrumental,2,3,1,2
jazz,89,41,90,74
jungle,0,2,0,2
kizomba,2,1,2,1
krautrock,1,1,0,0
latin,46,25,42,26
lounge,2,3,7,8
mambo,2,0,4,0
medieval,4,1,1,5
merengue,2,4,0,0
metal,19,7,9,13
metalcore,2,0,2,0
milonga,15,4,8,1
minimal,11,3,9,11
musical,22,4,8,10
noise,2,0,1,0
opera,68,13,33,58
orchestral,0,2,1,2
pop,50,22,33,42
pornogrind,0,0,1,0
progressive,6,5,2,1
psychedelic,1,4,4,6
psychobilly,2,0,0,0
psytrance,0,0,0,1
punk,6,3,3,9
rave,115,21,57,18
reggae,6,2,1,5
reggaeton,28,14,11,17
rock,93,36,67,65
rockabilly,6,1,0,4
rocksteady,2,0,0,1
rumba,1,0,0,2
salsa,9,12,13,9
samba,0,0,0,1
schlager,4,0,10,1
shoegaze,2,0,2,0
ska,3,0,2,3
soca,0,1,0,2
soul,43,6,16,32
swing,7,2,8,7
symphony,1,0,0,0
synthwave,1,1,3,0
tango,32,7,20,7
techno,12,5,20,18
timba,2,1,0,0
trance,15,10,9,13
trap,41,7,39,21
turntablism,1,0,0,0
vallenato,3,0,3,0
vaporwave,1,0,0,2
